분절,record_id,seg_idx,인코더,참조,rho
1,100,1,enc7,em,0.1383867583093965
1,100,1,enc8,x_clean,0.07006313597587314
1,100,1,enc8,bw,0.010220818479911582
1,100,1,enc8,ma,-0.08780883262175528
1,100,1,enc8,em,0.38036842427638035
2,100,2,enc1,x_clean,0.10794007527183308
2,100,2,enc1,bw,-0.052503402822677334
2,100,2,enc1,ma,-0.07899498799424708
2,100,2,enc1,em,0.2037571833575269
2,100,2,enc2,x_clean,0.08528056020007325
2,100,2,enc2,bw,0.8026464214355691
2,100,2,enc2,ma,0.24643709739144665
2,100,2,enc2,em,-0.30729510844100827
2,100,2,enc3,x_clean,0.14272982361343622
2,100,2,enc3,bw,0.8601717484979784
2,100,2,enc3,ma,0.31343717880647215
2,100,2,enc3,em,-0.22669487564964802
2,100,2,enc4,x_clean,0.5755994113733502
2,100,2,enc4,bw,-0.15474440379781276
2,100,2,enc4,ma,0.0033636889442274606
2,100,2,enc4,em,0.13963075738769412
2,100,2,enc5,x_clean,-0.07797873113267074
2,100,2,enc5,bw,-0.20335582371070657
2,100,2,enc5,ma,-0.1784263610976072
2,100,2,enc5,em,0.07228729938642847
2,100,2,enc6,x_clean,0.15083899079767138
2,100,2,enc6,bw,0.233428734685251
2,100,2,enc6,ma,0.16627731681469263
2,100,2,enc6,em,0.29962498694492656
2,100,2,enc7,x_clean,-0.08073361350199859
2,100,2,enc7,bw,-0.19098858328340454
2,100,2,enc7,ma,-0.1998956146099752
2,100,2,enc7,em,0.26667551598536093
2,100,2,enc8,x_clean,0.05906740282853665
2,100,2,enc8,bw,0.17018389803346812
2,100,2,enc8,ma,0.4314474497575595
2,100,2,enc8,em,0.08578953086414158
3,100,3,enc1,x_clean,0.0055360151251904206
3,100,3,enc1,bw,0.055904773638470906
3,100,3,enc1,ma,-0.2253267819423095
3,100,3,enc1,em,-0.4708239741572173
3,100,3,enc2,x_clean,0.003429926566570777
3,100,3,enc2,bw,0.29207313642027405
